축제명,개최장소,축제시작일자,시작일_정리,축제종료일자,종료일_정리,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위치,위도,경도,데이터기준일자,제공기관코드,제공기관명
응봉산 해맞이 축제,응봉산,2025-01-01,20250101,2025-01-01,20250101,응봉산에서 해돋이 감상+새해맞이공연+먹거리장터 등 개최,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5202,https://www.sd.go.kr/tour/contents.do?key=1914&,,서울특별시 성동구 독서당로 362,,서울,37.54811799,127.0296025,2025-06-18,3030000,서울특별시 성동구
제22회 강북구 3·1독립운동 기념행사,삼각산 도선사 및 우이동 봉황각,2025-03-01,20250301,2025-03-01,20250301,"타종식 및 만세행진, 기념식, 체험 프로그램",서울특별시 강북구청,서울특별시 강북구청,천도교 중앙총부 및 삼각산 도선사,02-901-6204,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,서울,37.66019851,127.0060603,2025-05-20,3080000,서울특별시 강북구
2025 불광천 벚꽃축제 은평의 봄,불광천,2025-04-04,20250404,2025-04-05,20250405,"문화공연, 체험부스 등",서울특별시 은평구,서울특별시 은평구,,02-351-6517,http://www.ep.go.kr,,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,서울,37.60245742,126.9288229,2025-06-24,3110000,서울특별시 은평구
어천절 대제전,사직동 단군성전,2025-04-12,20250412,2025-04-12,20250412,국조 단군의 승천을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,문화체육관광부+서울특별시+서울특별시 종로구,02-2148-1807,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,서울,37.5758942,126.9658016,2025-04-14,3000000,서울특별시 종로구
겸재책거리축제,겸재작은도서관 인근 중랑천변(우천시: 면목7동복합청사),2025-04-12,20250412,2025-04-12,20250412,봄에 어울리는 독서문화체험 부스 및 각종 체험행사 등,서울특별시 중랑구청,서울특별시 중랑구청,서울특별시청,02-2094-1834,https://www.jungnang.go.kr/portal/main.do,,서울특별시 중랑구 중랑천로 8 인근,서울특별시 중랑구 면목동 1031-22,서울,37.58612555,127.0745434,2025-06-15,3060000,서울특별시 중랑구
4.19혁명 국민문화제,국립4.19민주묘지,2025-04-12,20250412,2025-04-19,20250419,4.19혁명 기념+국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체+서울특별시 강북구청,국가보훈부+서울특별시+서울특별시 교육청+KBS,02-901-6206,www.festival419.org/,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,서울,37.63918553,127.0254518,2025-05-20,3080000,서울특별시 강북구
응봉산 개나리 축제,응봉산,2025-03-01,20250301,2025-04-30,20250430,개나리꽃 개화시기에 맞춰 응봉산 일원에서 백일장+그림그리기+콘서트 등 개최,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5203,https://www.sd.go.kr/tour/contents.do?key=1915&,,서울특별시 성동구 독서당로 362,,서울,37.54811799,127.0296025,2025-06-18,3030000,서울특별시 성동구
제9회 겸재문화예술제,겸재정선미술관+어울림공원+궁산근린공원,2025-05-10,20250510,2025-05-10,20250510,전국사생대회+청소년문화예술제+체험마당 등,강서문화원(겸재정선미술관),서울특별시 강서구,,02-2659-2206,https://culture.gangseo.seoul.kr/,,서울특별시 강서구 양천로47길 36,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 D.FESTA 대학로 거리공연축제,대학로,2025-05-10,20250510,2025-05-11,20250511,우수거리공연극 등 거리극축제,(사)한국소극장협회,(사)한국소극장협회,,02-3674-0472,https://smalltheater.or.kr/,,"서울특별시 종로구 동숭4길 14, 2층",서울특별시 종로구 동숭동 12-8,서울,37.583303,127.0043962,2025-04-14,3000000,서울특별시 종로구
2025년 우장산 그린 페스타,우장산축구장,2025-05-17,20250517,2025-05-17,20250517,체험 및 부대행사+버스킹 공연 등,서울특별시 강서구,서울특별시 강서구,서울특별시+강서구의회,02-2600-6655,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=126f6c11-a884-4ed2-a489-f90171e10d48&cntntsNm=%EC%9A%B0%EC%9E%A5%EC%82%B0%EA%B7%B8%EB%A6%B0%ED%8E%98%EC%8A%A4%ED%83%80,,서울특별시 강서구 우장산로10길 112,,서울,,,2025-04-29,3150000,서울특별시 강서구
중랑 서울장미축제,중랑장미공원(묵동교~겸재교 중랑천 일원),2025-05-16,20250516,2025-05-24,20250524,"장미 개화시기에 맞춰 중랑천 둔치와 수림대 공원 등에서의 문화공연과 먹거리 부스, 포토존 및 전시 등 5.45km 장미터널을 활용한 서울시 브랜드 축제",중랑문화재단,중랑문화재단,서울특별시 중랑구청+서울특별시청,02-3407-6531,https://www.jnfac.or.kr/rose/index,,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,서울,37.6148099,127.073526,2025-06-15,3060000,서울특별시 중랑구
가족사랑명품클래식 공연,숭실대학교 한경직기념관,2025-06-07,20250607,2025-06-07,20250607,세계적인 지휘자 금난새와 함께하는 해설이 있는 클래식공연,서울특별시 동작구청 문화정책과,"서울특별시 동작구청, 동작문화재단",KB국민은행,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
반포서래 한불음악축제,조달청 주차장,2025-06-14,20250614,2025-06-14,20250614,체험부스+먹거리+지역주민 및 초청가수 공연,반포4동 주민자치위원회,반포4동 주민자치위원회,,,https://www.seocho.go.kr/site/seocho/04/10404010600002015070703.jsp,,서울특별시 서초구 반포대로 217,,서울,,,2025-05-09,3210000,서울특별시 서초구
두모포 페스티벌,옥수역,2025-06-01,20250601,2025-07-31,20250731,갈라뮤지컬+두모포 출정러닝+전시회+체험부스+플리마켓+먹거리장터 등,서울특별시 성동구청,서울특별시 성동구청,,02-2286-5207,https://www.sd.go.kr/tour/contents.do?key=3945&,,서울특별시 성동구 동호로 21,,서울,37.54104689,127.01833,2025-06-18,3030000,서울특별시 성동구
강서문화예술페스티벌,강서아트리움,2025-08-22,20250822,2025-08-23,20250823,공연+전시 및 체험부스,서울특별시 강서구,서울특별시 강서구,강서구의회,02-2600-5315,https://youth.seoul.go.kr/infoData/sprtInfo/view.do?sprtInfoId=54036&key=2309130006,,서울특별시 강서구 가로공원로 195,,서울,,,2025-04-29,3150000,서울특별시 강서구
2025 영양고추 H.O.T Festival,서울광장,2025-08-29,20250829,2025-08-31,20250831,판매+체험+공연+부대행사,경상북도 영양군청,경상북도 영양군청,,054-680-6381,yyg.go.kr,,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,서울,37.56631769,126.9778284,2025-06-12,5170000,경상북도 영양군
금천GC페스타,가산디지털단지+금천구청 일대,2025-09-13,20250913,2025-09-14,20250914,공연+전시+체험+마켓 등,서울특별시 금천문화재단,서울특별시 금천구청,서울특별시청,02-2627-1442,https://blog.naver.com/geumcheon1/223555816426?trackingCode=blog_bloghome_searchlist,,서울특별시 금천구 디지털로10길 9,서울특별시 금천구 가산동 60-8,서울,37.477619,126.8890553,2025-06-20,3170000,서울특별시 금천구
K-분식페스티벌 &나루터영화제,노량진축구장,2025-09-20,20250920,2025-09-20,20250920,K-분식과 영화가 만나 맛과 감성을 함께 즐긴다,서울특별시 동작구청 문화정책과,서울특별시 동작구청,서울특별시,02-820-9657,www.dongjak.go.kr,,서울특별시 동작구 노량진로 134,서울특별시 동작구 노량진동 62-8,서울,37.51336537,126.9408802,2025-04-29,3190000,서울특별시 동작구
잠원나루축제,잠원체육공원,2025-09-20,20250920,2025-09-20,20250920,왕비친잠행사+주민참여공연+누에생태체험관+먹거리장터 운영,잠원동 주민자치위원회,잠원동 주민자치위원회,,,https://www.seocho.go.kr/site/seocho/04/10404021000002016052704.jsp,,,서울특별시 서초구 잠원동 58-14,서울,,,2025-05-09,3210000,서울특별시 서초구
2025 대학로 소나무길 거리예술제,대학로,2025-09-20,20250920,2025-09-21,20250921,차없는거리가 운영되는 소나무길에서의 거리예술제,서울특별시 종로구,서울특별시 종로구,소나무길번영회,02-2148-1813,www.jongno.go.kr,,"서울특별시 종로구 종로1길 36, 8층 문화과",서울특별시 종로구 수송동 146-12,서울,37.57350514,126.9789883,2025-04-14,3000000,서울특별시 종로구
