file,keyword,text_a,text_c,match_a,match_b,match_c,match_d,condition
강원도_가족관계증명서_child_female_echo_0080.mp3,가족관계증명서, 가족 관계 증명서 한부 발급 좀 해주시오지by 속만, 가족 관계 증명서 한부 발급 좀 해주시오 주위 속만,1,1,1,1,
강원도_가족관계증명서_child_female_onyx_0057.mp3,가족관계증명서, 가족 관계 증명서 발급된가?, 가족 관계 증명서 발급된가?,1,1,1,1,
강원도_가족관계증명서_child_female_shimmer_0025.mp3,가족관계증명서, 가족관계 증명서 발급 신청합니다구만, 가족관계 증명서 발급 신청합니다구만,1,1,1,1,
강원도_가족관계증명서_middle_aged_male_echo_0030.mp3,가족관계증명서," 지금 The Cut Up To Me, 어서 3부 8급 좀 해주시오, 주게 마시마오", 지금들 가족 두면서 3볼 발급 좀 해주시어주게 마시마오,0,0,0,1,
강원도_가족관계증명서_middle_aged_male_onyx_0037.mp3,가족관계증명서, 가족 관계의 증명서 발급점 해주시오는 것이요, 가족 관계의 증명서 발급 좀 해주시오는 것이요,0,1,0,1,
강원도_가족관계증명서_senior_male_alloy_0031.mp3,가족관계증명서, 가족 간계 직명서 발급 좀 해주시오는거 아이가?, 가족 간계 직명서 발급 좀 해주시오는거 아이가?,0,1,0,1,
강원도_가족관계증명서_senior_male_echo_0050.mp3,가족관계증명서," 가족관계 직명서 한통, 팔급 좀 해주시와야", 가족 관계 직명서 한 통 발급 좀 해주시와야,0,1,0,1,
강원도_가족관계증명서_senior_male_onyx_0075.mp3,가족관계증명서, 지금도 가족 증명서 다섯 부 발급 좀 해주시오 주게 마쉽네, 지금도 가족 증명서 다섯 부 발급 좀 해주시오 주게 마쉽네,0,1,0,1,
강원도_가족관계증명서_senior_male_shimmer_0096.mp3,가족관계증명서, 가족관계 증명서 발급 좀 해주시여 스캔에서 보내줘잉, 가족 관계 증명서 발급 좀 해주시여 스캔에서 보내줘잉,1,1,1,1,
강원도_가족관계증명서_young_adult_female_alloy_0081.mp3,가족관계증명서, 먼저 가족관계 증명서 5부 바로 밝은 빨급 좀 해주시오 집사네, 먼저 가족관계 증명서 5부 바로 발급발�급 좀 해주시오 집사네,1,1,1,1,
강원도_가족관계증명서_young_adult_female_alloy_0090.mp3,가족관계증명서, 가족 관계 증명서 발급점 부탁드림내다구만., 가족 관계 증명서 발급점 부탁드립니다.,1,1,1,1,
강원도_가족관계증명서_young_adult_female_nova_0099.mp3,가족관계증명서, 가족 관계 증명서 발급 신청하랍니다., 가족 관계 증명서 발급 신청하랍니다.,1,1,1,1,
강원도_가족관계증명서_young_adult_male_echo_0015.mp3,가족관계증명서, 가족관계 분명서 발급점 해주시오려면 뭐 있어야 되노?, 가족관계 분명서 발급점 해주시오려면 뭐 있어야 되노?,0,1,0,1,
강원도_가족관계증명서_young_adult_male_nova_0019.mp3,가족관계증명서," 3, 0, 발급 중 해주시오, 이았은가 가족 관계 증명서"," 3, 0, 발급 중 해 주시오였던가 가족 관계 증명서",1,1,1,1,
강원도_가족관계증명서_young_adult_male_onyx_0093.mp3,가족관계증명서, 가족 관계의 증명서 한 통 발급 좀 해주시면 안 되겠어, 하족 관계의 증명서 한 통 발급 좀 해주시면 안 되겠어,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_onyx_0181.mp3,건강보험자격득실확인서, 건강보험 자력 특실 확인서 좀 발급 좀 해주시오 주위소, 건강보험 자력 특실 확인서 좀 발급 좀 해주시오 주위소,0,1,0,1,
강원도_건강보험자격득실확인서_child_male_alloy_0180.mp3,건강보험자격득실확인서, 자격득시 확인서 그거 팩스로 바로 되나요?, 자격득시 확인서 그거 팩스로 바로 되나요?,0,1,0,1,
강원도_건강보험자격득실확인서_middle_aged_female_alloy_0115.mp3,건강보험자격득실확인서, 건강보험 자격득실 확인사 발급 좀 해주시오러 가야된다고만, 건강보험 자격득실 확인사 발급 좀 해주시오러 가야된다고만,0,1,0,1,
강원도_건강보험자격득실확인서_middle_aged_male_nova_0190.mp3,건강보험자격득실확인서, 자격득 실 확인서에 예전 회사 다 나오게 해주셔, 자격특시 확인서에 예전 회사 다 나오게 해주셔,0,1,0,1,
강원도_건강보험자격득실확인서_middle_aged_male_shimmer_0175.mp3,건강보험자격득실확인서, 건강보험 자격특실 확인서 어디서 발급 좀 해주시오 노, 건강보험 자격특실 확인서 어디서 발급 좀 해주시오 노,0,1,0,1,
강원도_건강보험자격득실확인서_senior_female_onyx_0199.mp3,건강보험자격득실확인서, 건보 자격득실 확인서 4부 발급주계 맞음 하우, 건보 자격득실 확인서 4부 발급주계 맞음 하우,0,1,0,1,
강원도_건강보험자격득실확인서_senior_male_onyx_0130.mp3,건강보험자격득실확인서, 자격득실 확인서에 예전 회사 단아옥에 해주소, 자격득실 확인서에 예전 회사 단아옥에 해주소,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_female_alloy_0119.mp3,건강보험자격득실확인서, 자격 특실 확인서는 왜 발급 좀 해주시오는기고, 자격 특실 확인서는 왜 발급 좀 해주시오는기고,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_female_echo_0196.mp3,건강보험자격득실확인서, 춤이에요., 자극득실 허딩소 한통만排급 좀 해주시오 주시오,0,0,0,0,
강원도_건강보험자격득실확인서_young_adult_female_nova_0137.mp3,건강보험자격득실확인서, 건강보험 자격득실 파긴사 한통 발급 좀 해주시왔을 것다, 건강보험 자격득 실패긴서 한 통 발급 좀 해주시왔을 것다.,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_female_onyx_0150.mp3,건강보험자격득실확인서, 자격득 수요학에서 발급점 해 주시오러 왔다는 기억만, 자격득 수영하기는서 발급점 해 주시오러 왔다는 기억만,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_male_alloy_0157.mp3,건강보험자격득실확인서, 자격득실 확인서 발급 좀 해주시오는 법정 갈춰주인구만, 자격득시 확인서 발급 좀 해주시오는 법정 갈춰주인구만,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_male_alloy_0193.mp3,건강보험자격득실확인서, 권보와 자격 특실 확인서 3부 발급 좀 해주시오해 가는 하우할까요?, 권보와 자격 특실 확인서 3부 발급 좀 해주시오해 가능하우 할까요?,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_male_nova_0131.mp3,건강보험자격득실확인서, 건강보험 자격 특췌 확인서 어디서 발급 좀 해주시오., 건강보험 자격 특힣 확인서 어디서 발급 좀 해주시오.,0,1,0,1,
강원도_건강보험자격득실확인서_young_adult_male_onyx_0125.mp3,건강보험자격득실확인서, 건강보험 공단 가서 자격 득시를 확인서 발급 좀 해주시오고 와야, 건강보험 공단 가서 자격 득시를 확인서 발급 좀 해주시오고 와야,0,1,0,1,
강원도_날씨_child_female_alloy_0299.mp3,날씨, 내 날씨 맑음이라드만, 내 날씨 맑음 이라드만,1,1,1,1,
강원도_날씨_child_female_echo_0237.mp3,날씨, 날씨가 연꼬리꼬리한 앵곰한, 날씨가 연꼬리꼬리한 앵구만,1,0,1,0,
강원도_날씨_child_female_onyx_0215.mp3,날씨, 보왕 기온 알러주게 맞습니다., 보왕 기온 알러주게 맞습니다.,0,0,0,0,
강원도_날씨_child_male_alloy_0225.mp3,날씨, 날씨 보고 옷 잘 챙겨 입어라잉?, 날씨 보고 옷 잘 챙겨 입어라잉?,1,1,1,1,
강원도_날씨_child_male_shimmer_0275.mp3,날씨, 날씨 보고 옷 잘 챙겨 입어라인구만, 날 씨보고 옷 잘 챙겨 입어라인구만,1,1,1,1,
강원도_날씨_child_male_shimmer_0290.mp3,날씨, 제주 바람 강하우?, 제주 바람 강하우?,0,0,0,0,
강원도_날씨_middle_aged_female_onyx_0257.mp3,날씨, 날씨가 이래서야 쓰고 있어?," 날씨가 이래서야, 쓰고 있어?",1,0,1,0,
강원도_날씨_middle_aged_male_onyx_0280.mp3,날씨, 모래 눈 온아요? 포항?, 모래 눈 온아요? 포항?,0,0,0,0,
강원도_날씨_senior_female_alloy_0230.mp3,날씨, 오늘 날씨가 어쩐다냐?, 오늘 날씨가 어쩐다냐?,1,0,1,0,
강원도_날씨_senior_female_echo_0296.mp3,날씨, με, 피 온다 하나 안 온다 하나,0,0,0,0,
강원도_날씨_senior_male_nova_0250.mp3,날씨, 날시로 더운데 소원한 거나 먹자, 날 싫어 더운데 수원한 거나 먹자,0,0,0,0,
강원도_날씨_senior_male_shimmer_0231.mp3,날씨, 내일 날씨 보고 빨리 하자., 내일 날씨 보고 빨래야자,1,1,1,1,
강원도_날씨_senior_male_shimmer_0293.mp3,날씨, 날씨에 판본 켜봐라, 날씨에 판본 켜봐라,1,0,1,0,
강원도_날씨_young_adult_female_echo_0281.mp3,날씨, 월 날씨가 어쩐냐냐?, 월 날씨가 어쩐냐니 아냐?,1,0,1,0,
강원도_날씨_young_adult_male_nova_0219.mp3,날씨, 날씨와 일이 던어., 날씨와 일이 던어.,1,0,1,0,
강원도_등본_child_female_nova_0368.mp3,등본, 오늘 중으로 탱번 사료 가져올라구만, 오늘 중으로 탱번 서류 가져올라구만,0,0,0,0,
강원도_등본_child_female_nova_0384.mp3,등본, 등본 그거 무인 팔급기에서 되나?, 등본 그거 무인 팔급기에서 되나?,1,1,1,1,
강원도_등본_child_female_onyx_0316.mp3,등본, 당분 발급점 해주셔서 사진 찍어 보내 줘, 행본 발급점 해주셔서 사진 찍어보네요,0,0,0,0,
강원도_등본_child_male_alloy_0371.mp3,등본, 봄사무소 가서 등분부터 바이급 좀 해주시어야 쓰겠다, 봄사모소 가서 등본부터 발급 좀 해주시어야 쓰겠다,0,0,1,1,
강원도_등본_child_male_shimmer_0349.mp3,등본, 든 원종. How?, 든 본 중. How?,0,0,0,0,
강원도_등본_child_male_shimmer_0392.mp3,등본, 스마트폰으로 등본될 수 있다면서, 스마트폰으로 등본될 수 있다면서,1,0,1,0,
강원도_등본_middle_aged_female_echo_0358.mp3,등본, 1번 발급 좀 해주시오는 신부름 좀 해라인, 이번 달급 좀 해주시오는 신부름 좀 해라잉,0,1,0,1,
강원도_등본_middle_aged_female_echo_0362.mp3,등본, 등본 한 분만 있으면 된다., 등본 한 분만 있으면 된다.,1,1,1,1,
강원도_등본_middle_aged_female_nova_0369.mp3,등본, 시간 날 때 등분한 통만, 시간 날 때 등분한 통만,0,0,0,0,
강원도_등본_senior_female_alloy_0363.mp3,등본, 임몬 뽐m는 뒤 돈 들어야, 임몬 뽑는 뒤 돈 들어야,0,0,0,0,
강원도_등본_senior_female_echo_0331.mp3,등본, 드민 등록 등번 2부 바로 발급점 해주시오. 해외 주라오., 주민등록 등번 2부 바로 발급점 해주시오. 해외 주라오.,0,0,0,1,
강원도_등본_senior_female_echo_0337.mp3,등본, 동사무소다서 등분 한통 발급 좀 해주셔 와야, 동사무소다서 등분 한통 발급 좀 해주셔 와야,0,1,0,1,
강원도_등본_senior_female_nova_0381.mp3,등본, 등 문 발급점 해주시오서 사진 찍어 보내도, 등분 발급점 해주셔서 사진 찍어 보내도,0,0,0,0,
강원도_등본_senior_male_echo_0366.mp3,등본, 지민 등록 등봉 밝음 좀 해주시오는 것 10대, 지민 등록 등봉 밝음 좀 해주시오는 것 10대,0,0,0,0,
강원도_등본_young_adult_female_echo_0308.mp3,등본, 등본 그거 오늘 안에 발급 좀 해주셔야 된다., 등본 그거 오늘 안에 발급 좀 해주셔야 된다.,1,1,1,1,
강원도_등본_young_adult_female_echo_0359.mp3,등본, 주민 갠록 등 온 발급 좀 해주시오는 것 십단계, 주민 갠럭 등 온 발급 좀 해주시오는 것 십단계,0,1,0,1,
강원도_등본_young_adult_male_onyx_0352.mp3,등본, 주민등본 한통 발급정 해주시오, 주민등본 한통 발급 좀 해주시오,1,1,1,1,
강원도_초본_child_female_echo_0468.mp3,초본, 초본이랑 등본이랑 다른 기가, 초본이랑 등본이랑 다른 기가?,1,0,1,0,
강원도_초본_child_male_alloy_0437.mp3,초본, 초본 그거 한 통 갈급점 해주시오러 왔어구만, 초본 그거 한 통 갈급점 해주시오러 왔어구만,1,1,1,1,
강원도_초본_child_male_echo_0463.mp3,초본, 초보는 왜 필요하다고?, 초보는 왜 필요하다고?,0,0,0,0,
강원도_초본_child_male_nova_0452.mp3,초본, 저번은 못담씨 발급 중 해주시오는 것이요., 저번은 못담씨 발급 중 해주시오는 것이요,0,1,0,1,
강원도_초본_middle_aged_female_echo_0481.mp3,초본, 초본 한 장만 퍼특 줘보소, 초본 한 장만 퍼특 조보소,1,1,1,1,
강원도_초본_middle_aged_female_shimmer_0431.mp3,초본, 초본! 내 초본!, 초본! 내 초본!,1,1,1,1,
강원도_초본_middle_aged_male_alloy_0449.mp3,초본, 초본 좀 밝을끝 좀 해주시면 겁나게 감사하벘소, 초본 좀 밝을 좀 해주시면 겁나게 감사하벘소,1,1,1,1,
강원도_초본_middle_aged_male_echo_0471.mp3,초본, 초본 한통 발급 좀 해주시었는데 시간 얼마나 걸리노, 초본 한통 발급 좀 해주시었는데 시간 얼마나 걸리노,1,1,1,1,
강원도_초본_middle_aged_male_nova_0416.mp3,초본, 춰분 제토범 마리어, 출번 내 두 번 말여,0,0,0,0,
강원도_초본_senior_female_nova_0469.mp3,초본, 추보는 못담씨 필요하다냐?, 추보는 못담씨 필요하다냐?,0,0,0,0,
강원도_초본_senior_male_nova_0459.mp3,초본, 저번 한 통 발급 좀 해주시오, 저번 한 통 발급점 해주시오,0,1,0,1,
강원도_초본_senior_male_onyx_0466.mp3,초본, 초본존 8급 좀 해주시오. 주시면 감사하겠습니다., 초본좀 8급 좀 해주시오. 주시면 감사하겠습니다.,1,0,1,0,
강원도_초본_young_adult_female_echo_0462.mp3,초본, 등번 말고 초번으로 발급 좀 해주셔서, 땡본 말고 초본으로 발급 좀 해주셔서,0,1,1,1,
강원도_초본_young_adult_female_nova_0458.mp3,초본, 초본 한 통 발급 좀 해주시오는데 시간 얼마나 걸린다냐?, 초본 한통 발급 좀 해주시오는데 시간 얼마나 걸린다냐?,1,1,1,1,
강원도_초본_young_adult_female_shimmer_0492.mp3,초본, 초본 한 장만 있으면 된다., 초본 한 장만 있으면 된다.,1,1,1,1,
강원도_초본_young_adult_male_echo_0484.mp3,초본, 내 초보내 군대 갔다 온 거 나오나?, 내 초보내 군대 갔다 온 거 나오나?,0,0,0,0,
강원도_초본_young_adult_male_onyx_0408.mp3,초본, 초보는 무엇땜씨 발급정 해주시는 것이요?, 초보는 무엇땜씨 발급정 해주시는 것이요?,0,0,0,0,
강원도_축제_child_female_alloy_0519.mp3,축제, 우리도 축제 부스 하나 내볼까나?, 우리도 축제 부스 하나 내볼까나?,1,1,1,1,
강원도_축제_child_female_echo_0571.mp3,축제, 축제에 사람 허벌락에만 걷지야?, 축제에 사람 허벌락에만 거치야?,1,0,1,0,
강원도_축제_child_female_nova_0534.mp3,축제, 오늘부터 축쇄 시작이다., 오늘부터 축쇄 시작이다.,0,0,0,0,
강원도_축제_child_female_nova_0550.mp3,축제, 집재포로 안 갈기가, 집재포로 안 갈기가?,0,0,0,0,
강원도_축제_child_female_shimmer_0509.mp3,축제, 축제에 가서 누구 온다냐?, 축제에 가수 누구 온다냐?,1,0,1,0,
강원도_축제_child_female_shimmer_0556.mp3,축제, 쭉쥬하는데 주차할 때 있나?, 적제하는데 주차할 때 있나?,0,0,0,0,
강원도_축제_child_female_shimmer_0559.mp3,축제, 오늘부터 축제 시작이다., 오늘부터 축제 시작이다.,1,1,1,1,
강원도_축제_child_male_alloy_0567.mp3,축제,出 테일의 장표 중 바보자라., 숙제의 장표 중 바보자,0,0,0,0,
강원도_축제_child_male_echo_0536.mp3,축제, 춥제 초대가수 누구라고 그라데, 춥제 초대가수 누구라고 그라데?,0,0,0,0,
강원도_축제_child_male_nova_0584.mp3,축제, 축제 가서 뭐 만난 거 사무볼까?, 축제 가서 뭐 만난 거 사무볼까?,1,1,1,1,
강원도_축제_child_male_nova_0590.mp3,축제, 제 초대가 수 누구락하든요?, 쭉 제 초대가수 누구락하든요?,0,0,0,0,
강원도_축제_child_male_onyx_0551.mp3,축제, 오늘부터 축제 시작이다구만, 오늘부터 축제 시작이 나구만,1,1,1,1,
강원도_축제_child_male_onyx_0597.mp3,축제, 축제 일정표준 봐보자, 축제 일정표준 봐보자,1,1,1,1,
강원도_축제_child_male_shimmer_0517.mp3,축제, 밤에 하는 불꽃 죽지 않아?, 밤에 하는 불꽃 죽지 않아?,0,0,0,0,
강원도_축제_child_male_shimmer_0539.mp3,축제, 이 일정 표정 바보자, 이 일정 표정 바보자,0,0,0,0,
강원도_축제_child_male_shimmer_0548.mp3,축제, 축제하는데 지차일 때 있나?, 축제하는데 지차일 때 있나?,1,0,1,0,
강원도_축제_middle_aged_female_alloy_0566.mp3,축제, 적제하는 뒤 수찰될까?, 족제하는 데 주차할 때일까?,0,0,0,0,
강원도_축제_middle_aged_female_echo_0540.mp3,축제, 야시장 열리는 축제가?, 야시장 열리는 축제가?,1,0,1,0,
강원도_축제_middle_aged_female_echo_0579.mp3,축제, 우리도 축제 부스 하나 내볼까?, 우리도 축제 부스 하나 내볼까?,1,1,1,1,
강원도_축제_middle_aged_female_nova_0596.mp3,축제, 주말의 축제 구경이나 가자, 주말의 축제 구경이나 가자,1,1,1,1,
강원도_축제_middle_aged_female_nova_0598.mp3,축제, 지역 축제 모붓고 있다가?, 지역 축제 모붓고 있다가?,1,1,1,1,
강원도_축제_middle_aged_male_alloy_0574.mp3,축제, 추마의 축제 구경이나 가자, 추마의 축제 구경이나 가자,1,1,1,1,
강원도_축제_middle_aged_male_echo_0502.mp3,축제, 거기 축제 재밌다 카드, 거기 축제 재밌닷카대,1,1,1,1,
강원도_축제_middle_aged_male_shimmer_0538.mp3,축제, 아메하는 불구축제?, 아메하는 불꽃 축제할까?,1,0,1,0,
강원도_축제_senior_female_alloy_0570.mp3,축제, 특제 구경과의 사람?, 특제 구경 가의 사람?,0,0,0,0,
강원도_축제_senior_female_nova_0587.mp3,축제, 대학 축제 보러 가자, 대학 축제 보러 가자,1,1,1,1,
강원도_축제_senior_female_shimmer_0504.mp3,축제, 축제의 사람 지기만 캐쟤?, 축제의 사람 지기만 캐쟤?,1,0,1,0,
강원도_축제_senior_male_alloy_0507.mp3,축제, 우리도 축제 부스 하나 내볼까?, 우리도 축제 부스 하나 내볼까?,1,1,1,1,
강원도_축제_senior_male_alloy_0572.mp3,축제, 이번에 축제 뭐하노?, 이번에 축제 뭐하노?,1,1,1,1,
강원도_축제_senior_male_alloy_0592.mp3,축제, 거기 축제 재밌다 가대, 거기 축제 재밌다 가대,1,1,1,1,
