file,keyword,text_a,text_c,match_a,match_b,match_c,match_d,condition
강원도_가족관계증명서_child_female_nova_0059.mp3,가족관계증명서, 상세로 발급 좀 해주시어야 쓴가 가족 관계 직량서, 참새로 발급 좀 해주시어야 쓴가 가족 관계 직량서,0,1,0,1,
강원도_가족관계증명서_middle_aged_female_shimmer_0012.mp3,가족관계증명서, 상세로 발급 좀 해주시어야 쓴가 가족 간계 증명서구만, 상세로 발급 좀 해주시어야 쓴가? 가족 간계 증명서구만?,0,1,0,1,
강원도_가족관계증명서_senior_female_echo_0088.mp3,가족관계증명서, 가족 관계 직명서 상세로 한통 발급 좀 해주시오 주시오., 가족 관계 직명서 상세로 한통 발겹 좀 해주시오 주시오,0,1,0,1,
강원도_가족관계증명서_senior_male_echo_0029.mp3,가족관계증명서, 우위 가족 관계 측명서 좀, 우위 가족 관계 증명서 좀,0,1,1,1,
강원도_가족관계증명서_senior_male_echo_0067.mp3,가족관계증명서, 3세로 발급 좀 해주셔야 되나 가족 관계 증명서, 3세로 발급 좀 해주셔야 되나 가족관계 증명서,1,1,1,1,
강원도_가족관계증명서_senior_male_shimmer_0032.mp3,가족관계증명서, 가족관계 증명서 있어야 혼이 신고한다냐?, 가족관계 증명서 있어야 혼의 신고 한다냐?,1,1,1,1,
강원도_가족관계증명서_youngadult_female_onyx_0024.mp3,가족관계증명서, 가족 직명서 한부 필요하고 만서 지금도 발급 좀 해주실래요?, 가족 증명서 한부 필요하고 만서 지금도 발급 좀 해주실래요?,0,1,0,1,
강원도_가족관계증명서_youngadult_male_nova_0060.mp3,가족관계증명서, 가족 관계 증명서 발급 좀 해주시오는거 아이가, 가족 관계 증명서 발급 좀 해주시오는거 아이가?,1,1,1,1,
강원도_가족관계증명서_youngadult_male_shimmer_0083.mp3,가족관계증명서, 가족권 기 증명서 발급 좀 해주시오 해주시오. 내구만., 가족권 기특명서 발급 좀 해주시오 해주시오. 내구만.,0,1,0,1,
강원도_건강보험자격득실확인서_child_female_alloy_0167.mp3,건강보험자격득실확인서, 건강보험 자격득실 확인서는 본인만 떼 수 있는 것이요., 건강보험 자격득실 확인서는 본인만 떼 수 있는 것이요,1,1,1,1,
